Day ,Items ,Note ,Amount 
28,Salary Expense,Cash Payment - Salary Expense,20458
28,Shipping Expense,Cash Payment - Move Stock ID: 1524,21218
28,Interest Expense ,Cash Payment - Interest - For Overdraft,4102
28,Depreciation Expense,Non-Cash Expense - Depreciation,10000
28,Rental Expense,Cash Payment - Rental - Detroit,1200
28,Rental Expense,Cash Payment - Rental - Los Angeles,1080
28,Rental Expense,Cash Payment - Rental - Chicago,1600
28,Rental Expense,Cash Payment - Rental - New York,2680
28,Rental Expense,Cash Payment - Rental - Miami,1120
28,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",4620
28,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
28,Rental Expense,Cash Payment - Rental - San Francisco,2240
27,Salary Expense,Cash Payment - Salary Expense,20458
27,Interest Expense ,Cash Payment - Interest - For Overdraft,4102
27,Depreciation Expense,Non-Cash Expense - Depreciation,10000
27,Rental Expense,Cash Payment - Rental - Detroit,1200
27,Rental Expense,Cash Payment - Rental - Los Angeles,1080
27,Rental Expense,Cash Payment - Rental - Chicago,1600
27,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,2475
27,Rental Expense,Cash Payment - Rental - New York,2680
27,Rental Expense,Cash Payment - Rental - Miami,1120
27,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",4620
27,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
27,Rental Expense,Cash Payment - Rental - San Francisco,2240
26,Salary Expense,Cash Payment - Salary Expense,20458
26,Interest Expense ,Cash Payment - Interest - For Overdraft,4102
26,Depreciation Expense,Non-Cash Expense - Depreciation,10000
26,Rental Expense,Cash Payment - Rental - Detroit,1200
26,Rental Expense,Cash Payment - Rental - Los Angeles,1080
26,Rental Expense,Cash Payment - Rental - Chicago,1600
26,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,2775
26,Rental Expense,Cash Payment - Rental - New York,2680
26,Rental Expense,Cash Payment - Rental - Miami,1120
26,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",4690
26,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
26,Rental Expense,Cash Payment - Rental - San Francisco,2240
25,Salary Expense,Cash Payment - Salary Expense,20458
25,Interest Expense ,Cash Payment - Interest - For Overdraft,4102
25,Depreciation Expense,Non-Cash Expense - Depreciation,10000
25,Rental Expense,Cash Payment - Rental - Detroit,1200
25,Rental Expense,Cash Payment - Rental - Los Angeles,1080
25,Rental Expense,Cash Payment - Rental - Chicago,1600
25,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,2925
25,Rental Expense,Cash Payment - Rental - New York,2680
25,Rental Expense,Cash Payment - Rental - Miami,1120
25,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",4760
25,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
25,Rental Expense,Cash Payment - Rental - San Francisco,2240
24,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 3498,17
24,Interest Expense ,Cash Payment - Interest - For Overdraft,4094
24,Depreciation Expense,Non-Cash Expense - Depreciation,10000
24,Rental Expense,Cash Payment - Rental - Detroit,1200
24,Rental Expense,Cash Payment - Rental - Los Angeles,1080
24,Rental Expense,Cash Payment - Rental - Chicago,1600
24,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,3225
24,Rental Expense,Cash Payment - Rental - New York,2680
24,Rental Expense,Cash Payment - Rental - Miami,1120
24,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",4830
24,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
24,Rental Expense,Cash Payment - Rental - San Francisco,2240
23,Human Resource Expense,Attended Training,15000
23,Human Resource Expense,Attended Training,15000
23,Interest Expense ,Cash Payment - Interest - For Overdraft,4094
23,Depreciation Expense,Non-Cash Expense - Depreciation,10000
23,Rental Expense,Cash Payment - Rental - Detroit,1200
23,Rental Expense,Cash Payment - Rental - Los Angeles,1080
23,Rental Expense,Cash Payment - Rental - Chicago,1600
23,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,3525
23,Rental Expense,Cash Payment - Rental - New York,2680
23,Rental Expense,Cash Payment - Rental - Miami,1120
23,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",9590
23,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
23,Rental Expense,Cash Payment - Rental - San Francisco,2240
22,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
22,Salary Expense,Cash Payment - Salary Expense,20260
22,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 3113,18
22,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 3148,130
22,Interest Expense ,Cash Payment - Interest - For Overdraft,4077
22,Depreciation Expense,Non-Cash Expense - Depreciation,10000
22,Rental Expense,Cash Payment - Rental - Detroit,1200
22,Rental Expense,Cash Payment - Rental - Los Angeles,1080
22,Rental Expense,Cash Payment - Rental - Chicago,1600
22,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,3825
22,Rental Expense,Cash Payment - Rental - New York,2680
22,Rental Expense,Cash Payment - Rental - Miami,1120
22,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",9590
22,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
22,Rental Expense,Cash Payment - Rental - San Francisco,2240
21,Human Resource Expense,Attended Training,15000
21,Human Resource Expense,Staff Dismiss,19000
21,Human Resource Expense,Staff Dismiss,19000
21,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
21,Salary Expense,Cash Payment - Salary Expense,20026
21,Interest Expense ,Cash Payment - Interest - For Overdraft,4045
21,Depreciation Expense,Non-Cash Expense - Depreciation,10000
21,Rental Expense,Cash Payment - Rental - Detroit,1200
21,Rental Expense,Cash Payment - Rental - Los Angeles,1080
21,Rental Expense,Cash Payment - Rental - Chicago,1600
21,Rental Expense,Cash Payment - Rental - New York,2680
21,Rental Expense,Cash Payment - Rental - Miami,1120
21,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.",9590
21,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
